listing_id,location,property_type,rent,area_sqft,bhk,sharing,bathrooms,furnishing,parking,wifi,food,attached_bathroom,distance_from_college_km,security_deposit,data_status
122,LIG Colony,PG,2900,189,0,Triple,1,Fully Furnished,No,Yes,Yes,Yes,0.4,4500,Synthetic starter data
123,Rau,Shared Room,2500,321,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,5.1,2000,Synthetic starter data
124,Scheme 54,Shared Room,3400,139,0,Triple,1,Fully Furnished,Yes,Yes,No,Yes,0.5,3500,Synthetic starter data
125,Geeta Bhawan,Shared Room,3100,362,0,Triple,1,Fully Furnished,No,Yes,No,Yes,3.9,4500,Synthetic starter data
126,LIG Colony,PG,5300,167,0,Single,1,Fully Furnished,Yes,Yes,Yes,Yes,2.6,8000,Synthetic starter data
127,Bengali Square,Shared Room,3000,264,0,Double,1,Fully Furnished,No,Yes,No,Yes,2.2,6000,Synthetic starter data
128,Vijay Nagar,PG,5300,99,0,Double,1,Fully Furnished,Yes,Yes,No,No,1.7,5500,Synthetic starter data
129,Rau,Shared Room,2500,323,0,Double,1,Fully Furnished,No,Yes,No,Yes,5.2,2000,Synthetic starter data
130,Vijay Nagar,Shared Room,3200,120,0,Triple,1,Fully Furnished,Yes,No,No,Yes,3.2,2000,Synthetic starter data
131,Vijay Nagar,2 BHK,17900,965,2,Whole Property,1,Semi-Furnished,Yes,No,No,Yes,1.7,22000,Synthetic starter data
132,Vijay Nagar,PG,6200,213,0,Single,1,Fully Furnished,No,Yes,No,Yes,5.2,6000,Synthetic starter data
133,Sukhliya,1 BHK,8100,667,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,No,5.2,13000,Synthetic starter data
134,LIG Colony,Shared Room,2500,261,0,Triple,1,Fully Furnished,No,Yes,No,Yes,6.0,1500,Synthetic starter data
135,Bicholi Mardana,Single Room,5500,275,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,4.0,9000,Synthetic starter data
136,LIG Colony,2 BHK,13900,1028,2,Whole Property,2,Semi-Furnished,Yes,Yes,No,Yes,2.2,13500,Synthetic starter data
137,Palasia,1 BHK,13000,765,1,Whole Property,1,Semi-Furnished,No,Yes,No,Yes,0.4,17000,Synthetic starter data
138,Sukhliya,Shared Room,2500,236,0,Double,1,Semi-Furnished,Yes,Yes,No,Yes,1.7,3500,Synthetic starter data
139,Palasia,Shared Room,3000,140,0,Triple,1,Fully Furnished,Yes,Yes,No,No,1.7,6000,Synthetic starter data
140,Palasia,PG,7300,116,0,Single,1,Semi-Furnished,Yes,Yes,Yes,Yes,2.6,14500,Synthetic starter data
141,Scheme 54,Shared Room,4000,227,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,3.5,3500,Synthetic starter data
142,Scheme 54,Shared Room,4200,166,0,Double,1,Semi-Furnished,No,Yes,No,No,1.6,3500,Synthetic starter data
143,Geeta Bhawan,Single Room,7000,224,0,Single,1,Unfurnished,No,Yes,No,Yes,2.0,10500,Synthetic starter data
144,Scheme 54,1 BHK,14700,888,1,Whole Property,1,Semi-Furnished,Yes,Yes,No,No,1.5,8500,Synthetic starter data
145,Vijay Nagar,Shared Room,4900,279,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,1.1,4000,Synthetic starter data
146,Palasia,Single Room,8500,268,0,Single,1,Semi-Furnished,No,Yes,No,Yes,4.4,10500,Synthetic starter data
147,Bhawarkua,PG,5500,186,0,Single,1,Fully Furnished,Yes,Yes,Yes,Yes,2.8,10000,Synthetic starter data
148,Geeta Bhawan,PG,4800,156,0,Double,1,Fully Furnished,Yes,Yes,No,No,4.1,6500,Synthetic starter data
149,Sukhliya,Single Room,3600,107,0,Single,1,Semi-Furnished,Yes,No,No,Yes,4.6,3000,Synthetic starter data
150,Scheme 54,PG,4200,225,0,Double,1,Semi-Furnished,No,Yes,Yes,Yes,6.0,10000,Synthetic starter data
151,Bengali Square,1 BHK,9400,598,1,Whole Property,1,Fully Furnished,Yes,Yes,No,No,3.8,12000,Synthetic starter data
152,Rau,Single Room,3700,101,0,Single,1,Unfurnished,Yes,Yes,No,Yes,2.8,5500,Synthetic starter data
153,Bengali Square,2 BHK,14600,892,2,Whole Property,2,Unfurnished,Yes,No,No,Yes,5.0,15000,Synthetic starter data
154,Rau,PG,3400,155,0,Double,1,Fully Furnished,Yes,No,No,No,3.6,4000,Synthetic starter data
155,Rau,Shared Room,2500,357,0,Double,1,Fully Furnished,Yes,Yes,No,Yes,2.4,1500,Synthetic starter data
156,Bicholi Mardana,Single Room,5600,240,0,Single,1,Unfurnished,No,Yes,No,No,0.3,3000,Synthetic starter data
157,Geeta Bhawan,Single Room,5600,130,0,Single,1,Fully Furnished,No,Yes,No,Yes,6.0,3500,Synthetic starter data
158,Vijay Nagar,Single Room,7300,214,0,Single,1,Fully Furnished,No,Yes,No,Yes,1.6,6500,Synthetic starter data
159,Bhawarkua,PG,4200,152,0,Double,1,Semi-Furnished,Yes,Yes,Yes,Yes,3.0,3000,Synthetic starter data
160,Bhawarkua,PG,4000,168,0,Double,1,Fully Furnished,No,Yes,No,Yes,5.1,6000,Synthetic starter data
161,Bhawarkua,PG,4500,228,0,Single,1,Fully Furnished,No,Yes,No,Yes,2.2,9500,Synthetic starter data
162,Palasia,Single Room,6100,120,0,Single,1,Unfurnished,Yes,Yes,No,Yes,5.7,11000,Synthetic starter data
163,Vijay Nagar,PG,4200,110,0,Triple,1,Semi-Furnished,Yes,Yes,No,Yes,5.4,5000,Synthetic starter data
164,Vijay Nagar,PG,5500,218,0,Double,1,Fully Furnished,Yes,Yes,No,No,2.3,5000,Synthetic starter data
165,Rau,1 BHK,7500,840,1,Whole Property,1,Unfurnished,Yes,Yes,No,Yes,5.0,5000,Synthetic starter data
166,Bengali Square,2 BHK,16600,1397,2,Whole Property,2,Unfurnished,Yes,Yes,No,Yes,3.8,28000,Synthetic starter data
167,Geeta Bhawan,Shared Room,3900,385,0,Double,1,Semi-Furnished,Yes,No,No,Yes,3.6,6000,Synthetic starter data
168,Vijay Nagar,Single Room,9000,267,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,2.5,6000,Synthetic starter data
169,Bhawarkua,2 BHK,12400,921,2,Whole Property,2,Fully Furnished,No,Yes,No,No,5.2,22500,Synthetic starter data
170,Sukhliya,Single Room,5200,235,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,2.1,8500,Synthetic starter data
171,Bhawarkua,Shared Room,2600,377,0,Triple,1,Fully Furnished,No,Yes,No,Yes,3.2,4500,Synthetic starter data
172,Geeta Bhawan,Shared Room,4300,138,0,Double,1,Fully Furnished,Yes,Yes,No,No,2.8,2500,Synthetic starter data
173,Bengali Square,1 BHK,13100,813,1,Whole Property,1,Unfurnished,No,Yes,No,Yes,4.9,9000,Synthetic starter data
174,Geeta Bhawan,PG,4900,102,0,Double,1,Fully Furnished,Yes,No,No,No,0.4,7500,Synthetic starter data
175,Sukhliya,Shared Room,2500,342,0,Triple,1,Fully Furnished,No,No,No,Yes,2.9,3500,Synthetic starter data
176,Palasia,Single Room,9200,331,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,2.5,9500,Synthetic starter data
177,LIG Colony,Shared Room,2700,348,0,Triple,1,Fully Furnished,Yes,Yes,No,Yes,4.2,4000,Synthetic starter data
178,Bengali Square,PG,6100,198,0,Single,1,Fully Furnished,No,Yes,No,Yes,2.4,4500,Synthetic starter data
179,Sukhliya,PG,3400,202,0,Double,1,Fully Furnished,No,No,No,Yes,2.7,5000,Synthetic starter data
180,Palasia,1 BHK,10800,524,1,Whole Property,1,Unfurnished,No,Yes,No,Yes,5.9,8000,Synthetic starter data
181,Sukhliya,Shared Room,2600,317,0,Double,1,Fully Furnished,Yes,No,No,Yes,2.7,5000,Synthetic starter data
182,Scheme 54,Single Room,6400,104,0,Single,1,Semi-Furnished,No,Yes,No,No,5.5,10500,Synthetic starter data
183,Vijay Nagar,PG,7100,197,0,Single,1,Fully Furnished,No,Yes,No,Yes,0.6,7000,Synthetic starter data
184,LIG Colony,PG,5200,195,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,3.8,7500,Synthetic starter data
185,Rau,Single Room,4400,318,0,Single,1,Fully Furnished,No,Yes,No,Yes,5.8,7000,Synthetic starter data
186,Sukhliya,2 BHK,10000,831,2,Whole Property,2,Fully Furnished,Yes,Yes,No,Yes,5.7,20500,Synthetic starter data
187,Bhawarkua,PG,4100,216,0,Double,1,Fully Furnished,No,Yes,No,Yes,5.2,6500,Synthetic starter data
188,Bengali Square,PG,4300,154,0,Double,1,Fully Furnished,Yes,Yes,Yes,Yes,5.2,5500,Synthetic starter data
189,Sukhliya,Single Room,5300,338,0,Single,1,Semi-Furnished,No,Yes,No,Yes,4.8,4500,Synthetic starter data
190,Rau,1 BHK,6900,663,1,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,1.8,14000,Synthetic starter data
191,Bengali Square,1 BHK,11600,818,1,Whole Property,1,Fully Furnished,Yes,Yes,No,No,3.4,14000,Synthetic starter data
192,Scheme 54,Single Room,7000,246,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,2.3,12500,Synthetic starter data
193,Bhawarkua,Single Room,6300,236,0,Single,1,Fully Furnished,No,Yes,No,Yes,4.3,10000,Synthetic starter data
194,LIG Colony,PG,2900,250,0,Triple,1,Fully Furnished,Yes,Yes,No,No,2.1,5000,Synthetic starter data
195,Bicholi Mardana,1 BHK,7000,586,1,Whole Property,1,Unfurnished,Yes,No,No,Yes,5.9,12000,Synthetic starter data
196,LIG Colony,Single Room,6800,346,0,Single,1,Fully Furnished,No,Yes,No,Yes,5.0,5500,Synthetic starter data
197,Rau,2 BHK,9000,1225,2,Whole Property,2,Unfurnished,Yes,Yes,No,Yes,3.0,20000,Synthetic starter data
198,Bengali Square,1 BHK,10000,735,1,Whole Property,1,Fully Furnished,No,No,No,Yes,1.7,7500,Synthetic starter data
199,Rau,Single Room,4000,157,0,Single,1,Semi-Furnished,Yes,Yes,No,No,4.9,7500,Synthetic starter data
200,Rau,PG,3300,237,0,Double,1,Fully Furnished,No,Yes,No,Yes,3.2,3000,Synthetic starter data
201,Bhawarkua,PG,3900,135,0,Double,1,Semi-Furnished,No,Yes,No,Yes,5.4,6000,Synthetic starter data
202,Rau,PG,2900,124,0,Double,1,Fully Furnished,No,Yes,Yes,Yes,0.5,6500,Synthetic starter data
203,Vijay Nagar,1 BHK,12300,559,1,Whole Property,1,Unfurnished,No,Yes,No,Yes,5.8,18000,Synthetic starter data
204,Bhawarkua,2 BHK,13100,1147,2,Whole Property,1,Fully Furnished,Yes,Yes,No,Yes,3.5,13000,Synthetic starter data
205,Scheme 54,PG,8000,167,0,Single,1,Fully Furnished,Yes,No,No,Yes,3.7,13500,Synthetic starter data
206,Vijay Nagar,Shared Room,3100,169,0,Triple,1,Fully Furnished,No,Yes,No,Yes,3.1,5500,Synthetic starter data
207,Bengali Square,PG,3400,154,0,Triple,1,Fully Furnished,No,Yes,No,Yes,1.1,3500,Synthetic starter data
208,Bicholi Mardana,Single Room,5900,348,0,Single,1,Semi-Furnished,Yes,Yes,No,Yes,2.5,7500,Synthetic starter data
209,Geeta Bhawan,2 BHK,15800,911,2,Whole Property,2,Semi-Furnished,Yes,Yes,No,No,0.3,8000,Synthetic starter data
210,Bhawarkua,Single Room,6400,284,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,1.9,5000,Synthetic starter data
211,Bengali Square,PG,6400,225,0,Single,1,Fully Furnished,Yes,Yes,No,Yes,3.2,6000,Synthetic starter data
212,Vijay Nagar,Shared Room,4500,178,0,Double,1,Fully Furnished,No,Yes,No,Yes,6.0,3000,Synthetic starter data
213,Bhawarkua,Single Room,6000,207,0,Single,1,Semi-Furnished,No,Yes,No,Yes,4.1,5500,Synthetic starter data
214,Vijay Nagar,1 BHK,14600,880,1,Whole Property,1,Fully Furnished,No,Yes,No,Yes,2.5,16500,Synthetic starter data
215,Rau,PG,3300,173,0,Double,1,Semi-Furnished,Yes,Yes,No,Yes,4.0,5000,Synthetic starter data
216,Bengali Square,PG,7100,128,0,Single,1,Semi-Furnished,No,Yes,No,Yes,3.3,4500,Synthetic starter data
